,timestamp,demand,grid1-load,grid1-loss,grid1-temp,grid2-load,grid2-loss,grid2_1-temp,grid2_2-temp,grid3-load,grid3-loss,grid3-temp,has incorrect data
12334,2019-04-28 22:00:00,196.1620276073,224.614,9.0012,284.25,140.961,9.51295,279.430419921875,281.804779052734,7.9097,0.980308,282.371002197266,False
12335,2019-04-28 23:00:00,185.55190425669997,210.91099999999997,8.32043,283.35,139.144,9.36731,278.6083984375,280.68701171875,7.4944,0.9765159999999999,281.351593017578,False
12336,2019-04-29 00:00:00,182.4327108509,205.541,8.07203,282.05,137.457,9.26313,276.989013671875,278.856201171875,7.4463,0.9761610000000001,280.535614013672,False
12337,2019-04-29 01:00:00,181.2118910593,202.30700000000002,7.918639999999999,281.65,138.135,9.32087,276.199951171875,278.295806884766,7.3779,0.975692,280.040618896484,False
12338,2019-04-29 02:00:00,187.120638865,204.55900000000003,8.01172,281.15,138.233,9.34699,276.046630859375,278.093292236328,7.4357,0.9760780000000001,279.47918701171903,False
12339,2019-04-29 03:00:00,199.3678994843,210.905,8.29485,280.75,138.86,9.35094,276.073486328125,277.72576904296903,7.5757,0.9771049999999999,278.86260986328097,False
12340,2019-04-29 04:00:00,237.46461458,249.627,10.3147,282.15,146.579,10.0035,276.247314453125,277.899322509766,8.9127,0.988346,278.635620117188,False
12341,2019-04-29 05:00:00,289.5532073237,298.98900000000003,13.331,283.65,154.94799999999998,10.7119,277.28515625,279.182495117188,10.1561,0.9989110000000001,279.342437744141,False
12342,2019-04-29 06:00:00,300.5749832586,311.35200000000003,14.1467,285.15,158.045,10.958,279.03564453125,281.027252197266,10.8989,1.00634,280.134307861328,False
12343,2019-04-29 07:00:00,292.4567326448,308.008,13.8762,286.15,156.717,10.8553,281.941650390625,283.054321289063,10.7787,1.0051,280.48724365234403,False
12344,2019-04-29 08:00:00,285.040904483,306.69599999999997,13.741,287.15,157.345,10.9186,284.33154296875,285.601898193359,10.458,1.0018799999999999,281.00421142578097,False
12345,2019-04-29 09:00:00,278.464305799,299.237,13.2253,288.15,159.47,11.0443,285.598388671875,287.19586181640597,10.2361,1.00042,281.78436279296903,False
12346,2019-04-29 10:00:00,271.4999253457,293.01099999999997,12.8319,288.35,158.662,10.9658,286.39501953125,288.500366210938,10.3448,1.00074,282.3427734375,False
12347,2019-04-29 11:00:00,264.7884295714,287.573,12.4956,288.65,160.315,11.1308,287.095458984375,289.14520263671903,10.6562,1.00387,282.407989501953,False
